pressure_bar,component,equilibrium_loading_mol_kg
1.084145868935835,CO2,1.1363134588421189
1.115883992507748,CO2,1.1492572821622133
1.1485512424239368,CO2,1.1621850529420508
1.1821748186466723,CO2,1.1750951554609834
1.216782717410923,CO2,1.187986043566118
1.252403754535072,CO2,1.2008562382527797
1.2890675894140244,CO2,1.213704324977798
1.3268047497147244,CO2,1.2265289507240413
1.3656466567946097,CO2,1.239328820835737
1.4056256518642136,CO2,1.252102695645156
1.446775022915648,CO2,1.2648493869121127
1.4891290324394086,CO2,1.277567754098525
1.532722945952612,CO2,1.2902567005009258
1.5775930613623614,CO2,1.30291516926432
1.623776739188721,CO2,1.3155421393011917
1.6713124336724858,CO2,1.3281366211397296
1.720239724793599,CO2,1.3406976527254457
1.770599351226898,CO2,1.3532242952003968
1.8224332442626647,CO2,1.3657156286840886
1.8757845627201613,CO2,1.3781707480798735
1.9306977288832496,CO2,1.3905887589303094
1.9872184654880534,CO2,1.402968773344443
2.0453938337933906,CO2,1.4153099060193726
2.105272272765707,CO2,1.427611270377713
2.166903639411181,CO2,1.4398719748417932
2.2303392502884942,CO2,1.4520911192644224
2.2956319242369094,CO2,1.4642677915350812
2.362836026355175,CO2,1.4764010643792347
2.432007513267945,CO2,1.488489992367262
2.5032039797173256,CO2,1.5005336091481918
2.5764847065183747,CO2,1.5125309249220713
2.651910709918535,CO2,1.5244809241633601
2.7295447924020073,CO2,1.5363825636062318
2.809451594981406,CO2,1.548234770501132
2.8916976510202965,CO2,1.5600364411503604
2.9763514416313193,CO2,1.5717864397287964
3.063483452696084,CO2,1.583483597394266
3.1531662335543613,CO2,1.5951267116903916
3.2454744574113255,CO2,1.6067145462430732
3.340484983513244,CO2,1.618245830750122
3.438276921143307,CO2,1.6297192612619034
3.538931695490984,CO2,1.6411335007492414
3.6425331154496376,CO2,1.6524871799532381
3.7491674433988855,CO2,1.663778898510127
3.858923467029899,CO2,1.6750072263428104
3.971892573273302,CO2,1.6861707053092825
4.08816882439129,CO2,1.697267851096806
4.207849036297398,CO2,1.7082971553494555
4.331032859169001,CO2,1.7192570880154294
4.457822860419706,CO2,1.7301460998994815
4.58832461010084,CO2,1.7409626254048347
4.722646768802955,CO2,1.751705085448056
4.86090117813063,CO2,1.7623718905296326
5.003202953825999,CO2,1.7729614439423567
5.149670581618343,CO2,1.7834721450990745
5.3004260158796725,CO2,1.793902392961005
5.455594781168514,CO2,1.8042505895475414
5.615306076746267,CO2,1.8145151435083022
5.779692884153313,CO2,1.824694473738194
5.948892077934331,CO2,1.8347870130163308
6.123044539605178,CO2,1.844791211649906
6.302295274956023,CO2,1.8547055411044102
6.486793534788508,CO2,1.864528497602069
6.676692939187556,CO2,1.8742586056709243
6.872151605431122,CO2,1.8838944216276077
7.073332279644439,CO2,1.8934345369776362
7.280402472308562,CO2,1.9028775817178638
7.493534597735756,CO2,1.912222227526636
7.712906117627992,CO2,1.921467190828158
7.9386996888382235,CO2,1.9306112357186336
8.171103315457186,CO2,1.9396531767427883
8.410310505352605,CO2,1.9485918815105219
8.656520431290936,CO2,1.9574262731445837
8.909938096776099,CO2,1.9661553325513221
9.17077450674293,CO2,1.9747781005077525
9.439246843247663,CO2,1.9832936795593459
9.715578646301848,CO2,1.9917012357241548
10.0,CO2,2.0
0.0001,N2,1.4749588762180885e-05
0.00010292747724096089,N2,1.518136722537739e-05
0.0001059406557118851,N2,1.5625785168734646e-05
